8363,7166,6571,18203,8773,
70051,45216,42888,29058,92087,
1102904,909905,845013,138327,1088289,
5746182,5270826,5171937,186737,5347575,
22821808,18873405,19287195,279958,19785164,
2900329,2581412,2624534,437793,5382498,
4992199,4688477,4759890,1637190,6024593,
33520804,34629722,17949890,538460,20344399,
44450565,47322126,43643266,817348,48445334,
50584692,55466598,54080573,515317,58977403,
90833494,78933088,74530479,279958,93992875,
116413337,113238214,115801973,354689,137455530,
160988082,155430198,159303886,480774,186106063,
214504186,233429636,218296251,518118,256223162,
279447937,264264662,266879571,721795,344881081,
325108891,331230174,322935965,935173,403866525,
