5634,1528,834,5681,6397,
14498,9427,3156,13020,79875,
155069,22278,18464,28885,236299,
353527,42986,51746,59972,387828,
320595,123921,117400,128634,984514,
457841,170059,180510,158587,1283795,
592832,278483,276437,253762,1509948,
1263314,724465,687397,315798,2840576,
779577,895705,910929,389650,3384915,
711140,984762,1004762,340772,1444138,
535366,1304081,1250013,357454,1926892,
966835,2976652,2342680,723007,3683798,
1027770,2387084,2702305,622896,5147708,
800080,2845368,2900317,636244,3739054,
1316730,4178852,4199776,1086242,7008435,
1385175,5568888,5049714,880932,6277341,
