5755,5187,4451,24222,8247,
37608,14590,14515,13060,37125,
296165,148073,89179,59560,380399,
617324,85390,78508,104121,511976,
553487,106146,766568,113187,371608,
596405,147967,171619,149023,386214,
868544,653133,199306,185688,700999,
3412673,355519,353912,370975,1140065,
825232,433086,434294,172306,1003638,
1100774,591129,720591,234194,1924557,
1579200,677031,645875,562316,1717233,
2706048,787530,775884,387937,3264942,
3253603,898456,900362,437815,3370350,
1451379,1053256,999595,512489,3730615,
3647106,1463492,2624999,838696,5823929,
2618001,1550352,1568407,598357,4108474,
