9842,8900,10239,21589,10515,
132510,59377,52161,35868,81367,
1045055,752250,571719,162505,951358,
3315412,3258396,3320183,220851,3983708,
15649040,21492946,21586685,298930,23769513,
2894053,2564225,2593255,405605,3704060,
4982960,4687049,4671215,427360,5030264,
8828509,10593391,10524230,630799,13258216,
16454791,15860110,14594594,781522,17856710,
31331201,35946641,30173066,476540,33166918,
62280322,55468817,54415867,220222,57104002,
88847664,89369349,91658912,479132,89261383,
119203611,121292595,126104667,455948,120665427,
146602482,154880434,163038633,502809,154168434,
225502840,216374417,209558893,866139,213243157,
146287433,140060292,140789949,668866,146368968,
