4974,4817,3257,8125,8413,
49609,13266,12865,11982,38875,
370429,91615,51246,65744,210635,
673000,71746,84892,108307,480846,
396846,95877,143618,118136,335656,
663703,145793,136859,175450,486958,
811530,182081,192844,178178,4962640,
3362803,296906,275996,249181,886375,
754534,434244,400461,171913,992424,
1095565,575746,2814262,228831,6504713,
884008,1885127,645208,288416,1673333,
1096757,1215355,829220,358921,2228027,
1311190,923804,873534,543871,3379807,
2165250,2394450,1283364,594477,5959346,
3962398,1413745,1543000,618427,3787721,
2709771,1515958,1551012,610848,4241452,
