8926,8111,8145,19583,10147,
94631,61131,96611,37301,108660,
1351860,1065848,1601306,210959,1098838,
5857140,5096294,4651364,139882,4572722,
25576732,17385841,17293085,262117,21994109,
3108365,2832432,2795596,409465,3357724,
5595271,4970005,5283114,504475,6043759,
20095313,19050714,18274461,1253178,20331428,
43569685,42826353,47813278,931383,46783207,
85591819,80519135,73011012,946474,67757971,
85518609,94259675,133729012,353540,151814044,
113089617,121491225,111578148,366810,115412807,
160069565,156666619,158434578,491167,157910772,
215483514,206223076,210245953,605980,210468318,
352659042,268203356,274954923,542483,294171432,
369288597,335668388,325206044,583752,323493809,
