11420,16832,5634,69475,17762,
58129,14788,23341,12691,41472,
376749,125279,139619,58775,292656,
578079,83213,90062,177059,500830,
544361,154346,133041,922148,621973,
3051725,177193,238212,167387,400395,
777221,279243,814187,278682,661271,
816179,510320,579558,395297,1096925,
1038702,662004,778359,237235,1146316,
1440501,939663,1050618,327810,2134924,
1763551,1791334,3585981,508244,1861314,
2044777,1612551,2566322,728969,2451339,
6178267,1876621,3026024,871206,3732196,
2923721,2232184,2758941,944750,3234471,
6733378,6891562,8392848,1286879,6723073,
5043357,3172455,3920272,1150194,5302087,
