5220,1165,1063,5405,27633,
74033,1801,1614,6894,74604,
195316,22118,21888,28875,409186,
283847,56009,47569,63682,625176,
311129,114304,120497,114229,942804,
495967,182460,172107,157751,1303982,
593704,244705,253341,221939,1486593,
1232904,650031,666584,351170,2987611,
841585,866768,883226,345178,4392714,
712387,806376,799485,305381,1938711,
522259,1309421,1359557,478944,2411944,
1058324,1714742,1768158,437931,2711137,
1306747,3302477,3218942,613249,4808392,
1256184,4926650,3214982,677213,3968620,
1053932,3445722,3529562,666157,4207625,
1603936,5122708,5727442,1010140,8077622,
