55972,5666,1280,27642,160531,
58589,1936,15098,4122,46109,
269717,25036,26986,32051,441192,
479006,68495,66800,65732,559647,
323210,191767,101545,68699,682511,
789691,219665,251865,167981,1445102,
907850,327003,351529,229451,1627395,
1956849,796890,842579,473302,3261887,
1749216,1043064,1191085,463123,4559823,
1706269,1092040,1178034,387978,3813277,
4653430,1643787,1543363,408449,2169960,
2120544,1895703,2179252,442273,2346828,
4021813,3593584,4054256,1414475,4929992,
5833010,3969651,4632701,1611966,7341785,
3716988,3176312,3499944,1079503,4884164,
6136440,5392777,6653603,2419028,7968293,
