6177,4917,3912,11876,5982,
56592,32959,12115,14019,38825,
249623,26043,24515,67127,224950,
342612,63429,66694,104614,389024,
370052,122261,4127660,117353,282569,
582650,129048,1124112,173345,399271,
379696,170914,200522,300972,543600,
501344,277618,298165,185850,883938,
719394,443307,396004,164465,918556,
3523302,701044,574369,290583,1786448,
915776,657384,675709,291490,1985068,
1134862,3220578,717460,408916,2183527,
1366308,904469,893532,423485,2566998,
2196347,1260330,2298986,509038,6358234,
2471395,1306929,1299954,411495,3681242,
2746194,1475203,1463680,592012,4054942,
