508250,40204,16028,980498,32220,
78129,59818,72418,41311,147471,
755649,146783,227509,285398,653198,
764936,425949,442933,171558,812396,
938804,899383,1128388,319842,1180932,
1548105,939087,903836,501057,1403102,
631245,321641,580671,561831,1109120,
1285587,668989,777093,1648316,1864880,
990407,835623,1072026,1295305,1494243,
1352790,1232690,1482836,1308805,1997991,
1138528,1140641,1195908,609609,1576161,
1332807,1533814,1488940,490464,1775547,
1639679,1524917,1670402,486877,2138685,
2551296,1775057,2075011,604988,2381936,
2830755,3295995,4638858,2558241,7786299,
4674663,2896046,3636341,1081282,4019334,
